Subj.Trial,A,B,C,D,E
1.5,1,0.588098918,0.6,0.354827876,0.512195122
1.51,1,0.629366306,0.685714286,0.318723762,0.43902439
1.52,0,0.306955178,0.342857143,0.368933669,0.292682927
1.53,1,0.622256569,0.685714286,0.354156171,0.512195122
1.54,1,0.489953632,0.571428571,0.341897565,0.414634146
1.55,0,0.408500773,0.371428571,0.393115029,0.195121951
1.56,0,0.495054096,0.6,0.31922754,0.463414634
1.57,1,0.560278207,0.657142857,0.390428212,0.390243902
1.58,0,0.416383308,0.457142857,0.380520571,0.317073171
1.59,0,0.477434312,0.428571429,0.290344249,0.43902439
1.6,0,0.580680062,0.657142857,0.321746432,0.487804878
2.01,0,0.499227202,0.571428571,0.33131822,0.365853659
2.02,0.27,0.49675425,0.571428571,0.314693535,0.317073171
2.03,0,0.484544049,0.428571429,0.319563392,0.292682927
2.04,0.91,0.485316847,0.571428571,0.301427372,0.317073171
2.05,1,0.529984544,0.6,0.348446683,0.463414634
2.06,1,0.554404946,0.657142857,0.342233417,0.390243902
2.07,0.28,0.522102009,0.628571429,0.407724601,0.463414634
2.08,0,0.453941267,0.485714286,0.348446683,0.414634146
2.09,1,0.517928903,0.6,0.363224181,0.341463415
2.1,1,0.474652241,0.6,0.266330814,0.365853659
2.11,1,0.537867079,0.685714286,0.323761545,0.414634146
2.12,0.31,0.489180835,0.6,0.417800168,0.365853659
2.13,1,0.585625966,0.771428571,0.317716205,0.487804878
2.14,0,0.533230294,0.628571429,0.423845508,0.414634146
2.15,0,0.476970634,0.514285714,0.349286314,0.341463415
2.16,1,0.535394127,0.571428571,0.330982368,0.365853659
2.17,0,0.483462133,0.571428571,0.370948783,0.390243902
2.18,0,0.454714065,0.514285714,0.301427372,0.268292683
2.19,0.55,0.514992272,0.571428571,0.373299748,0.390243902
2.2,0,0.580370943,0.714285714,0.493534845,0.414634146
2.21,1,0.582689335,0.742857143,0.362384551,0.463414634
2.22,1,0.456723338,0.657142857,0.330982368,0.43902439
2.23,0,0.485007728,0.571428571,0.346767422,0.365853659
2.24,1,0.572179289,0.685714286,0.313853904,0.414634146
2.25,1,0.529520866,0.628571429,0.37279597,0.390243902
2.26,0,0.441267388,0.542857143,0.279764903,0.317073171
2.27,0,0.441267388,0.485714286,0.371620487,0.317073171
2.28,0,0.469397218,0.542857143,0.332157851,0.317073171
2.29,0,0.498608964,0.571428571,0.361376994,0.317073171
2.3,1,0.521638331,0.6,0.319059614,0.341463415
2.31,0,0.502472952,0.485714286,0.363560034,0.317073171
2.32,1,0.544822257,0.657142857,0.304282116,0.390243902
2.33,1,0.461514683,0.628571429,0.362720403,0.365853659
2.34,1,0.514219474,0.6,0.357010915,0.414634146
2.35,0.23,0.519474498,0.6,0.402686818,0.390243902
2.36,0.31,0.549304482,0.571428571,0.450377834,0.365853659
2.37,0.83,0.518392581,0.571428571,0.392779177,0.365853659
2.38,1,0.569706337,0.628571429,0.347607053,0.365853659
2.39,1,0.596290572,0.742857143,0.374139379,0.414634146
2.4,0,0.485471406,0.6,0.365407221,0.414634146
2.41,0,0.5812983,0.714285714,0.456087322,0.463414634
2.42,0.55,0.537867079,0.628571429,0.313014274,0.365853659
2.43,1,0.573879444,0.714285714,0.318387909,0.43902439
2.44,0,0.470324575,0.542857143,0.339378673,0.43902439
2.45,0,0.547140649,0.628571429,0.433753149,0.390243902
2.46,1,0.548222566,0.657142857,0.30495382,0.43902439
2.47,0,0.455177743,0.542857143,0.357010915,0.341463415
2.48,1,0.581452859,0.685714286,0.336020151,0.43902439
2.49,0,0.455023184,0.457142857,0.412930311,0.317073171
2.5,0,0.50633694,0.571428571,0.344416457,0.390243902
2.51,0,0.421638331,0.571428571,0.333501259,0.390243902
2.52,0,0.465224111,0.571428571,0.36372796,0.390243902
2.53,0,0.477434312,0.542857143,0.270361041,0.341463415
2.54,1,0.581916538,0.657142857,0.364735516,0.487804878
2.55,1,0.592117465,0.657142857,0.312006717,0.414634146
2.56,1,0.582071097,0.685714286,0.35852225,0.487804878
2.57,1,0.567387944,0.657142857,0.332829555,0.414634146
2.58,0,0.513446677,0.571428571,0.354324097,0.365853659
2.59,1,0.528438949,0.542857143,0.370109152,0.390243902
2.6,0,0.500772798,0.571428571,0.362216625,0.390243902
3.01,1,0.661823802,0.742857143,0.237279597,0.512195122
3.02,0,0.511282844,0.571428571,0.362384551,0.341463415
3.03,0,0.577588872,0.714285714,0.418639798,0.512195122
3.04,0,0.442349304,0.514285714,0.325104954,0.243902439
